,Ferm Number,Ferm Age,Side Product 1,Upstream Intermediate,Amino Acid 1,Amino Acid 2,Cell Mass,Side Product 2,Downstream Intermediate 1,Side Product 3,Downstream Intermediate 2,Target Product,Side Product 4,Fermenter,Strain,Run Description
524,AF12758,54,184.26324556542917,51.19087655862669,84.22634313229501,584.8411473338459,575.6860688970884,0.0,1040.878010063665,296.2055919027278,312.18013905742055,186.41588230921676,359.39651300780685,V03,Strain B,Process C
525,AF12758,57,,,,,,,,,,,,V03,Strain B,Process C
526,AF12758,70,337.5991077271784,169.3473808665944,90.53993585322029,413.2692316054043,963.8246860775503,0.0,1907.7447086158982,717.6643802864878,780.3384106905776,533.4322162012305,256.3401421350637,V03,Strain B,Process C
527,AF12758,72,,,,,,,,,,,,V03,Strain B,Process C
528,AF12758,75,,,,,,,,,,,,V03,Strain B,Process C
529,AF12758,78,361.64843812351353,17.845426842054678,171.7083316426542,195.78698078508367,1110.3501387857552,45.98606019452,2095.5586102838197,788.4011800259184,927.5573468500137,799.8161950842914,404.62683544568984,V03,Strain B,Process C
530,AF12758,79,,,,,,,,,,,,V03,Strain B,Process C
531,AF12758,84,,,,,,,,,,,,V03,Strain B,Process C
532,AF12758,87,,,,,,,,,,,,V03,Strain B,Process C
533,AF12758,90,,,,,,,,,,,,V03,Strain B,Process C
534,AF12758,94,450.5543504285783,25.418461567694724,350.8440691286983,261.48534523326737,1093.4285641947815,17.72360567886589,1963.2261392855846,1292.2883312516558,1013.0142468475165,1219.5561963081914,878.424398383206,V03,Strain B,Process C
535,AF12758,95,,,,,,,,,,,,V03,Strain B,Process C
536,AF12758,99,467.9452619241443,0.0,472.7025296847036,346.63445687519135,1075.4493911918719,20.213475904907565,1849.0479045448837,1456.7643290574986,967.0701871362279,1272.0400428656224,1195.177930700973,V03,Strain B,Process C
537,AF12758,102,550.2747199248421,9.42028017499814,579.2967290251487,370.9953552944272,1071.7317725317337,0.0,1835.788124187918,1596.845921218237,961.2085400157767,1338.0601983389497,882.7647683463825,V03,Strain B,Process C
538,AF12758,105,625.4287321881777,31.5947117410167,687.082210789068,434.8348977686353,1020.4542737712069,19.727738189699874,1844.14604914267,1721.9374878391122,949.8665700949983,1375.7921579046026,1186.5124491478487,V03,Strain B,Process C
539,AF12758,108,,,,,,,,,,,,V03,Strain B,Process C
540,AF12758,118,,,,,,,,,,,,V03,Strain B,Process C
541,AF12759,0,,,,,,,,,,,,V04,Strain B,Process C
542,AF12759,22,15.66091352501351,0.0,74.5839267630027,68.31009271417113,102.36270690070145,0.0,1.2723630925645169,0.0,21.86393769979831,9.570076783222577,0.0,V04,Strain B,Process C
543,AF12759,27,,,,,,,,,,,,V04,Strain B,Process C
544,AF12759,30,,,,,,,,,,,,V04,Strain B,Process C
545,AF12759,48,,,,,,,,,,,,V04,Strain B,Process C
546,AF12759,51,,,,,,,,,,,,V04,Strain B,Process C
547,AF12759,54,169.39310170268365,66.35081325551452,74.59301025820068,356.7455595142409,616.6439710320591,0.0,1046.2238968187662,322.8095918153027,406.51679035767955,240.8821019146009,396.7374752367863,V04,Strain B,Process C
548,AF12759,57,,,,,,,,,,,,V04,Strain B,Process C
549,AF12759,70,345.05313390021047,176.37709762229198,81.2424127410228,164.78344610910264,905.9452093516057,0.0,1715.0217848098978,688.5909938264003,906.0396269332749,651.6315806946349,411.5594048710698,V04,Strain B,Process C
550,AF12759,72,,,,,,,,,,,,V04,Strain B,Process C
551,AF12759,75,,,,,,,,,,,,V04,Strain B,Process C
552,AF12759,78,386.0217128080941,0.0,146.7751313168157,168.0180339870801,1011.2884208677627,15.559955019845395,1857.4860724396667,886.3368927085849,1077.3720218870685,943.5620176491832,703.7535772723563,V04,Strain B,Process C
553,AF12759,79,,,,,,,,,,,,V04,Strain B,Process C
554,AF12759,84,,,,,,,,,,,,V04,Strain B,Process C
555,AF12759,87,,,,,,,,,,,,V04,Strain B,Process C
556,AF12759,90,,,,,,,,,,,,V04,Strain B,Process C
557,AF12759,94,430.837477738785,25.07081791945124,187.65858090054792,242.7759682509635,951.8706191790025,37.18927833940221,1874.8402110383063,1585.2159437835141,1252.94877793548,1383.9564439056935,1461.316418769021,V04,Strain B,Process C
558,AF12759,95,,,,,,,,,,,,V04,Strain B,Process C
559,AF12759,99,471.45409230109703,10.149590348626576,132.08060094246937,256.39478967386594,948.9542114369975,31.622738985061325,1809.9803163102533,1782.9890627973587,1243.1704916484637,1428.167523778,1476.9964485874439,V04,Strain B,Process C
560,AF12759,102,554.6040912749719,20.37874089968853,139.09760763911487,242.90724929160692,934.2439789800713,0.0,1864.088784150599,1946.9815165166847,1288.5920699059418,1510.2665970765559,1488.520701588381,V04,Strain B,Process C
561,AF12759,105,569.8051171720903,46.24265832256383,146.17858929925296,254.51567617785358,913.8291247860367,26.824314192096807,1861.5023398038743,2095.3713611291914,1281.9296282477094,1551.8607662011518,1512.3950015734106,V04,Strain B,Process C
562,AF12759,108,,,,,,,,,,,,V04,Strain B,Process C
563,AF12759,118,,,,,,,,,,,,V04,Strain B,Process C
564,AF12762,0,,,,,,,,,,,,V07,Strain B,Process C
565,AF12762,22,11.680218359431116,0.0,76.28604596405232,74.82803991293092,93.9660164786652,0.0,0.0,0.0,22.162737612247685,9.482400613935287,0.0,V07,Strain B,Process C
566,AF12762,27,,,,,,,,,,,,V07,Strain B,Process C
567,AF12762,30,,,,,,,,,,,,V07,Strain B,Process C
568,AF12762,48,,,,,,,,,,,,V07,Strain B,Process C
569,AF12762,51,,,,,,,,,,,,V07,Strain B,Process C
570,AF12762,54,162.58493807904813,52.63345510505198,79.57267373755974,415.547383009169,596.4214074583763,0.0,1077.5394371737832,299.1694133614373,352.1781709223223,206.39267457581008,404.5955810948057,V07,Strain B,Process C
571,AF12762,57,,,,,,,,,,,,V07,Strain B,Process C
572,AF12762,70,331.6681534079896,181.45901179132986,79.43579118925867,111.40177641908637,932.5774602703542,0.0,1831.7799137865948,703.8130285821511,869.6099966237189,623.8813300968245,364.63888152981775,V07,Strain B,Process C
573,AF12762,72,,,,,,,,,,,,V07,Strain B,Process C
574,AF12762,75,,,,,,,,,,,,V07,Strain B,Process C
575,AF12762,78,409.063579854199,0.0,146.44151810114408,116.33470341720103,1034.6517312405279,0.0,1981.3565395105,888.1436831884155,1037.0623016824115,914.6972394756871,670.5392324811311,V07,Strain B,Process C
576,AF12762,79,,,,,,,,,,,,V07,Strain B,Process C
577,AF12762,84,,,,,,,,,,,,V07,Strain B,Process C
578,AF12762,87,,,,,,,,,,,,V07,Strain B,Process C
579,AF12762,90,,,,,,,,,,,,V07,Strain B,Process C
580,AF12762,94,480.19118991752237,0.0,144.15135463206963,151.56011879873893,1018.0826894535326,29.559406416127068,1906.6872904287513,1618.48133393678,1212.0274730004744,1355.0812634748243,1346.8601663494385,V07,Strain B,Process C
581,AF12762,95,,,,,,,,,,,,V07,Strain B,Process C
