,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
79,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G8,20,6.5,25,3.0,0.2,0.5,0.1,0.5,0.5,5.0,4,300,1,7.136273241,
80,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G9,21,6.5,15,3.0,0.6,2.0,3.5,0.5,0.5,0.0,1,300,1,6.858813822,3.3
81,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G10,21,6.5,15,3.0,0.6,2.0,3.5,0.5,0.5,0.0,2,300,1,6.47115566,
82,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G11,21,6.5,15,3.0,0.6,2.0,3.5,0.5,0.5,0.0,3,300,1,5.833395989,
83,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G12,21,6.5,15,3.0,0.6,2.0,3.5,0.5,0.5,0.0,4,300,1,7.061392304,
84,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H1,22,5.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,1,300,1,5.359959219,5.59
85,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H2,22,5.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,2,300,1,6.357621556,
86,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H3,22,5.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,3,300,1,5.548695193,
87,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H4,22,5.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,4,300,1,5.810211055,
88,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H5,23,4.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,1,300,1,8.438959683,1.48
89,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H6,23,4.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,2,300,1,8.596015916,
90,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H7,23,4.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,3,300,1,8.051811614,
91,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H8,23,4.5,15,3.0,1.0,0.5,0.0,0.0,0.0,0.0,4,300,1,9.388663287,
92,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H9,24,6.5,15,12.0,1.0,2.0,0.0,0.5,0.5,2.5,1,300,1,1.18783806,12.87
93,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H10,24,6.5,15,12.0,1.0,2.0,0.0,0.5,0.5,2.5,2,300,1,1.048401243,
94,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H11,24,6.5,15,12.0,1.0,2.0,0.0,0.5,0.5,2.5,3,300,1,0.871115054,
95,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,H12,24,6.5,15,12.0,1.0,2.0,0.0,0.5,0.5,2.5,4,300,1,3.800027472,
96,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A1,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,1,300,1,19.77642781,0.0
97,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A2,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,2,300,1,17.64932485,
98,Strain B,SC_drop_out,Round_0_Definitive_screening_design,Plate 19,18,A3,1,4.5,35,3.0,0.2,1.25,3.5,0.5,0.0,5.0,3,300,1,16.13714134,
